speaker,total_count,s1_count,s2_count,s3_count,s4_count,s5_count,s6_count,s7_count,s8_count,s9_count
Audience,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
GPS,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Jim and Pam,4,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Mr. Figaro,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Blogger,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Realtor,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Ernesto,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Billy,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santigold,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Old Woman,4,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
W.B. Jones,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Walt Jr.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Rolando,4,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Vance Refrigeration Guy,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Limo Driver,4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Phillip,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Holly's Mom,4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Priest,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayworth's waiter,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Old Man,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Beth,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Mother,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Jakey,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Younger Guy,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Deposition Reporter,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Businessman #3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Documentary Crew Member,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warehouse Guy,3,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Officer 1,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Senator Liptop,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Andy and Darryl,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Aunt Shirley,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Pretzel guy,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Co-Worker 2,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Mrs. Wallace,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Man from Buffalo,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Oscar's friend,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Businessman #2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Cookie Monster,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Henry,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
IT Tech Guy,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Ellen,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Co-worker,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
DwightKSchrute,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Ronnie,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Dakota,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Business Student #2,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Delivery Woman,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Woman over speakerphone,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
DJ,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Various,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Spanish Teacher,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Mr. Romanko,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Dennis,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Little Girl,3,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Marcy,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Warehouse Crew,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Kelly's Father,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Male Applicant 1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
VRG 2,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Bus driver,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Vance Refrigeration guy,3,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Window treatment guy,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Michael ,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Vance Refrigeration Worker #2,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Server,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Andy & Walter,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Male church member,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Calvin,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
CPR Trainer,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
German Minister,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Angela & Oscar,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Actor,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabor,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Molly,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Pam as fourth-biggest client,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Andy & Michael,3,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Woman in line,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Malcolm,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Leo,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Andy & Erin,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Warehouse guy 1,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Michael & Dwight,3,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Park Ranger,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Co-Worker 3,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Concierge,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Stonewall Host,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Seth Mayers,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Women,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Amy,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Meredith's Vet,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lab Tech,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guy at table,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Astrid,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Usher,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Pediatrician,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CameraMan,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Guy in audience,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jim & Dwight,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Bob's Secretary,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Young Michael,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight ,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Narrator,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Concierge Marie,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Michael and Christian,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pam and Jim,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Paramedic,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Office,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Promo Announcer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Gideon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Voice on CD player,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Robotic Voice,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Child,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Officer 2,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Member,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Michael [on phone],2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Dwight and Andy,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Other waitress,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Hostess,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ruger Sister 1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Kelly and Erin,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Nail stylist 2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Deangelo/Michael,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cindy,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Moderator,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Nail manager,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Gym instructor,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Jim, Pam, Michael and Dwight",2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Holy,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Receptionitis15,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Wrangler,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Air Force recruiter,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jim ,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
David Brent,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
David Wallace's Secretary,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Liquor Store Clerk,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guy At Bar,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanely,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Woman from Buffalo,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Woman 4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Businessman #1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Woman 2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
JIM9334,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Darryl's sister,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Larry,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Warehouse worker,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soldier,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Dwight & Andy,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Warehouse guy,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bookstore employee,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Policeman,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Paul,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Girl at table,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Officer Foley,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Darrly,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jessica Alba,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Albiny,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miss Trudy,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCT Member #2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Clay Aiken,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Overhead,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bass Player,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Randy,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Rory,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Phylis,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Man on phone,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Student 1,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Meridith,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Chef,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwenneth,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Dwight and Erin,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Ty,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Pam as ninth-biggest client,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Security,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Female Athlead Employee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Off-camera,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Billy's Girlfriend,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warren,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Older Woman,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Minister,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Lonnie,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Voice #1 on phone,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Female Applicant,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Donna Muraski,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jim & Pam,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Delivery Boy,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Archivist,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Chet,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ballerinas,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Mr. Beesly,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Co-workers,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Cell Phone Sales Person,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Business Student #3,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Prince Grandmother,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Michael and Jim,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Others,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Voicemail,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Female Intern,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Michae,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Man 2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Coffee shop worker,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Erin and Kelly,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Philip,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
New Instant Message,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Walter & Walter Jr,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Phyllis, Stanley, Dwight",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Party Announcer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Holly & Darryl,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Male voice,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Halpert,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Darryl and Andy,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jim's voicemail,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight:,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
All but Oscar,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Zion,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Teddy Wallace,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fast Food Worker,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Paul Faust,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Michael, Pam & Ryan",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Entire Prince family,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Girl acting Pregnant,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Man 3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lady Blogger,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Meredith, Creed, Oscar and Matt",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The Kids,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Denagelo,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kevin & Oscar,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Slater,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cousin Mose,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Carol Stills,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Male Applicant 2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ryan and Michael,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dale,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Reporter #2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dwight [on phone],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Actress,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter's CD,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Dwight, Jim and Michael",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Unknown,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight and Angela,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mihael,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Woman 3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Camera Crew,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Wade,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Radio,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Security guard,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Emergency Operator,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Roger,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Patty,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hank [the security guard],1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Bob Vance, Vance Refrigeration",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Finger Lakes Guy,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dacvid Wallace,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alyssa,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prince Son,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Supervisor,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Dwight, Jim & Pam",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HCT Member #1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
abe,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Production Assistant,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Andy/Pam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Voice #2 on phone,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Older guy,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Group chant,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Employees except Dwight,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Meredith & Kelly,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dwight and Roy,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julius Irving,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Maguire,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Phyllis, Kevin & Stanley",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fourth Shareholder,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Michael/Dwight,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Michael and Andy,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Doug [church member],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Boom Box,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MeeMaw,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pam & Dwight,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robert & Creed,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Fake Stanley,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MIchael,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Michael, Holly, and Darryl",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Darryl and Katy,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Office Staff,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vance Refrigeration Guy 2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dan,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rehab Nurse,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Employee,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.D. Photographer,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Party guests,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mr. O'Malley,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chili's Employee,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ted,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrs. Kapoor,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Miichael,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Nail stylist 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Blogger 2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Parent in Audience,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Party Waiter,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Third Shareholder,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Neighbor,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Female Shareholder,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Darryl and Kevin,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Man 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
