speaker,total_count,s1_count,s2_count,s3_count,s4_count,s5_count,s6_count,s7_count,s8_count,s9_count
Ben Franklin,24,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Bert,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
AJ,23,0.0,0.0,0.0,0.0,8.0,0.0,15.0,0.0,0.0
Melissa,23,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannah,23,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,23,0.0,0.0,4.0,5.0,2.0,4.0,3.0,1.0,4.0
Casey,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Jada,22,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
Bar Manager,22,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
Irene,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
Pizza guy,22,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
Esther,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Walter,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
Vikram,21,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0
Waiter,20,0.0,0.0,4.0,0.0,0.0,0.0,9.0,5.0,2.0
Alan,20,0.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0
Elizabeth,20,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0
Lonny,20,5.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Crowd,19,0.0,9.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0
Bob Vance,19,0.0,5.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0
Fannie,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Prince Grandfather,19,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
Christian,19,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abby,19,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Receptionist,19,0.0,2.0,1.0,1.0,6.0,0.0,1.0,8.0,0.0
Brad,18,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Martin,18,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Diane Kelly,18,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Photographer,18,0.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Pam's Mom,18,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke,18,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
Brandon,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
Rachel,18,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0
Ryan Howard,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Shirley,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Blood Girl,17,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
Ex-client,17,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
Billy Merchant,17,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny,17,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,1.0
Mary-Beth,17,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senator,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0
Lynn,16,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
Robert California,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
Zeke,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Hide,14,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,8.0
Sweeney Todd,14,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
Carroll,14,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
Manager,14,0.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Barbara,14,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
HCT,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Waitress,14,0.0,3.0,1.0,2.0,0.0,7.0,0.0,1.0,0.0
Justin,14,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Girl,14,0.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,0.0
Jerry,14,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Everybody,14,8.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Both,13,0.0,0.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0
Hotel Employee,13,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Mema,13,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Second Cindy,13,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Director,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Julia,13,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
Jordan,13,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
Lawyer,13,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0
Troy,12,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0
Bartender,12,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0
Ad guy 1,12,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Cece,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0
Jeb,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Julie,12,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Sadiq (IT guy),12,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig,12,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boat Guy,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Rolf,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Pam's mom,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Lauren,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
Customer,11,0.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0
Broccoli Rob,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Shane,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Suit Store Father,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Michael and Dwight,11,1.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0
Ed,11,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Penny,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Julius,11,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0
Sherri,11,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Dunder,11,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
Lefevre,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Financial Guy,11,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Salesman,11,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
Sensei,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Mr. Ramish,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
Megan,10,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0
HCT Member #3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Isaac,10,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0
Carla,10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0
Suit Store Son,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Police Officer 1,10,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Computron,10,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Nana,10,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Phil,10,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Merv,10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Athlead Employee,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Maurie,10,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Kathy,10,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0
Alex,10,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Sasha,10,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Wolf,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Front Desk Clerk,10,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Business partner,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Man on Phone,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magician,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Diane,10,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Graphics guy,10,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Stephanie,9,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0
Chad Lite,9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,9,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Micheal,9,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0
Matt,9,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Fred,9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Rolph,9,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Ravi,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
Master,9,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lady,9,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0
Dana,9,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isabelle,9,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Denise,9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikela,9,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Cameron,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Devon,9,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ira,9,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Secretary,8,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0
Hunter,8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Tattoo Artist,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Kendall,8,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Rose,8,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Pastor,8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
Frank,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Shelby,8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Speaker,8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
A.J.,8,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Margaret,8,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Sheriff,8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill,8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hospital employee,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Blood Drive Worker,8,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Linda,7,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Edward R. Meow,7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kid,7,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
Uncle Al,7,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Phone Salesman,7,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Check-in guy,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Brenda,7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey,7,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Video Michael,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Madge,7,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Mr. Schofield,7,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Gil,6,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Larry Myers,6,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Vance Refrigeration Worker #1,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamie,6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Producer,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Sam,6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Blonde,6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Keena Gifford,6,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Evan,6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Lily,6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Glenn,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
Worker,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Attendant,6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Vet,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Dwight and Michael,6,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
DunMiff/sys,6,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Kids,6,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
Ad guy 2,6,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Paris,6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Officer 2,6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Rep,6,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Student 2,6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Fake Jim,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Song,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walter Jr,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Client,6,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0
Phone,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0
Teddy,6,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Dealer,5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passer-by,5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Professor,5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Reid,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Delivery man,5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holly's Dad,5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Michel,5,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
Joan,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Mr. Halpert,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Justine,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Tall Girl #1,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Stripper,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Phil Maguire,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Marie,5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Melvina,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Hot Dog Guy,5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Hank the Security Guard,5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wendy's phone operator,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Friend,5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Laurie,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Mrs. Davis,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Girl in 2nd club,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Mr. Ruger,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Kelly's Mom,5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Party Photographer,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Doug,5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Girl in Club,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Helen,5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Students,5,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
Intern,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Announcer,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
"Andy, Creed, Kevin, Kelly",5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Reporter,5,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
Carla Fern,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
O'Keefe,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Steve,5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Andy and Dwight,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Micahel,4,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Business Student #1,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
VRG 1,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
School Official,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Michael & Holly,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Professor Powell,4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Mark McGrath,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Prince Granddaughter,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Video,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexican Man,4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Pam [on phone],4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Andy and Jim,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbara Allen,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Buyer,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Old Lady,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Teacher,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Son,4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Aaron Rodgers,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Wally Amos,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Bill Hader,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Jerome Bettis,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotel Manager,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Someone,4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Ben,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
